member_id,type,level,grid_location,section,span_or_length_m,qty_per_level,Lcr_mm,UDL_design_kNm,point_load_kN,N_Ed_kN,M_Ed_kNm,V_Ed_kN,Mc_Rd_kNm,Vpl_Rd_kN,N_Rd_kN,defl_mm,defl_limit_mm,util_M,util_V,util_N,util_defl,governing_check,mass_kgm,source_page
B1-F,secondary beam,floor,grids 1 and 6 (2.5m trib),UKB 356x127x33,6.5,10,,32.89,,,173.70,106.89,192.77,489.93,,15.09,32.5,0.901,0.218,,0.464,bending,33,11-12
B2-F,secondary beam,floor,grids 2 and 5 (5.0m trib),UKB 457x152x52,6.5,10,,63.13,,,333.41,205.17,390.50,800.03,,11.64,32.5,0.854,0.256,,0.358,bending,52.3,13-14
B3-F,secondary beam,floor,grids 3 and 4 (4.75m trib),UKB 356x171x51,6.5,10,,60.11,,,317.46,195.36,318.08,604.22,,16.78,32.5,0.998,0.323,,0.516,bending,51,15-16
B4-F,primary beam,floor,rows B-E grid 1-3 and 4-6,UKB 610x229x113,10.0,8,,2.65,410.35,,1058.98,218.43,1164.40,1564.32,,16.62,50.0,0.909,0.140,,0.332,bending,113,17-18
B5-F,primary beam,floor,rows B-E grid 3-4,UKB 610x229x113,4.5,4,,2.65,,,,5.96,1164.40,1564.32,,,22.5,,0.004,,,assumed_as_B4,113,11
BP-F,perimeter beam,floor,rows A and F all bays,UKB 356x127x33,5.0/4.5,10,,,,,,,192.77,489.93,,,25.0,,,,,per_elevation_drawing,33,drawing
B1-R,secondary beam,roof,grids 1 and 6,UKB 356x127x33,6.5,10,,17.96,,,94.85,58.37,192.77,489.93,,,32.5,0.492,0.119,,,assumed_as_floor,33,6
B2-R,secondary beam,roof,grids 2 and 5,UKB 457x152x52,6.5,10,,33.28,,,175.79,108.16,390.50,800.03,,,32.5,0.450,0.135,,,assumed_as_floor,52.3,6
B3-R,secondary beam,roof,grids 3 and 4,UKB 356x171x51,6.5,10,,31.74,,,167.66,103.16,318.08,604.22,,,32.5,0.527,0.171,,,assumed_as_floor,51,6
B4-R,primary beam,roof,rows B-E grid 1-3 and 4-6,UKB 610x229x113,10.0,8,,2.65,216.32,,573.93,121.41,1164.40,1564.32,,,50.0,0.493,0.078,,,assumed_as_floor,113,7
B5-R,primary beam,roof,rows B-E grid 3-4,UKB 610x229x113,4.5,4,,2.65,,,,5.96,1164.40,1564.32,,,22.5,,0.004,,,assumed_as_floor,113,7
BP-R,perimeter beam,roof,rows A and F all bays,UKB 356x127x33,5.0/4.5,10,,,,,,,192.77,489.93,,,25.0,,,,,per_elevation_drawing,33,drawing
C1,perimeter column,full height 0-22m,all perimeter grid intersections,UKC 356x368x177,22.0,20,7000,,,3941.51,,,,,4492.88,,,,,0.877,,minor axis buckling,177,26-28
C2,internal column,1st floor to roof,grids 3 and 4 at rows B-E,UKC 254x254x73,15.0,8,5000,,,1603.60,,,,,1751.68,,,,,0.915,,minor axis buckling,73,28-30
TR-CHC,truss top chord compression,1st floor,rows B-E spanning grid 1-6,UKC 356x406x235,2.5,8,2500,,,9383.00,,,,,10133.19,,,,,0.926,,minor axis buckling,235.1,35-37
TR-CHCM,truss top chord compression middle,1st floor,rows B-E central panels,UKC 356x406x235,2.25,2,2250,,,9383.00,,,,,10133.19,,,,,0.926,,minor axis buckling,235.1,40
TR-CHT,truss bottom chord tension,1st floor,rows B-E,UKC 356x406x235,2.5,6,,,,9383.00,,,,,10548.72,,,,,0.889,,ultimate tension,235.1,33
TR-CHTM,truss bottom chord tension middle,1st floor,rows B-E,UKC 356x406x235,3.5,2,,,,9383.00,,,,,10548.72,,,,,0.889,,ultimate tension,235.1,40
TR-DIC,truss diagonal compression,1st floor,rows B-E,UKC 203x203x86,2.75,8,2750,,,2837.62,,,,,2889.70,,,,,0.982,,minor axis buckling,86.1,37-39
TR-DIT,truss diagonal tension,1st floor,rows B-E,UKC 203x203x71,2.75,8,,,,2881.62,,,,,3189.31,,,,,0.904,,ultimate tension,71,34
TR-DITM,truss diagonal tension middle,1st floor,rows B-E,UKC 203x203x71,3.33,2,,,,2881.62,,,,,3189.31,,,,,0.904,,ultimate tension,71,40
TR-VC,truss central vertical,1st floor,rows B-E,UKC 203x203x86,2.45,1,2450,,,,,,,,,,,,,,,not_designed_separately,86.1,40
BR-X-G,cross brace transverse ground,ground storey,grids A and F 2 braced bays,UKA 70x50x6,8.60,2,,,,232.74,,,,,243.74,,,,,0.955,,ultimate tension,,42-43
BR-X-U,cross brace transverse upper,storeys 1-3,grids A and F 2 braced bays,UKA 70x50x6,7.07,6,,,,,,,,,243.74,,,,,,,not_governing,,42-43
BR-Y-G,cross brace longitudinal ground,ground storey,grids 1 and 6 2 braced bays,UKA 60x30x5,9.56,2,,,,149.88,,,,,151.00,,,,,0.993,,ultimate tension,,44-45
BR-Y-U,cross brace longitudinal upper,storeys 1-3,grids 1 and 6 2 braced bays,UKA 60x30x5,8.20,6,,,,,,,,,151.00,,,,,,,not_governing,,44-45
